"Relative Time","HTTP_200","HTTP_302"
"00:00","0","0"
"00:08","2.75","0.125"
"00:16","0.625","0"
"00:24","0.375","0"
"00:32","0.75","0"
"00:40","0.75","0"
"00:48","1.375","0"
"00:56","0.875","0"
"01:04","1.375","0.125"
"01:12","0.75","0"
"01:20","0.75","0"
"01:28","0.75","0"
"01:36","0.75","0"
"01:44","1.125","0"
"01:52","0.75","0"
"02:00","1.125","0"
"02:08","0.75","0"
"02:16","0.75","0"
"02:24","1.125","0"
"02:32","0.75","0"
"02:40","1.125","0"
"02:48","0.75","0"
"02:56","0.75","0"
"03:04","1.125","0"
"03:12","0.75","0"
"03:20","1.125","0"
"03:28","0.75","0"
"03:36","0.75","0"
"03:44","1.125","0"
"03:52","0.75","0"
"04:00","0.75","0"
"04:08","0.75","0"
"04:16","0.75","0"
"04:24","1.5","0"
"04:32","0.75","0"
"04:40","0.75","0"
"04:48","0.75","0"
"04:56","0.75","0"
"05:04","1.5","0"
"05:12","0.75","0"
"05:20","0.75","0"
"05:28","0.75","0"
"05:36","0.75","0"
"05:44","0.75","0"
"05:52","0.375","0"
"06:00","0.5","0"
