"Relative Time","Action_Transaction","T01_SIGNIN","T02_SELECT_CATEGORY","T03_SELECT_PRODUCT","T04_ADD_TO_CART","T05_CHECKOUT","T06_CONTINUE","T07_CONFIRM","T08_SIGNOUT","TRANSACTION_01_GET","TRANSACTION_02_GET","TRANSACTION_03_GETID","vuser_end_Transaction","vuser_init_Transaction"
"00:00","","","","","","","","","","","","","","0.002"
"00:08","","1.354","","","","","","","","6.23","2.572","","",""
"00:16","5.804","","0.176","0.284","","","","","","1.722","0.549","0.266","",""
"00:24","2.438","","","","","","","","","1.703","0.48","0.237","",""
"00:32","2.356","","","","","","","","","1.533","0.535","0.261","","0.002"
"00:40","2.436","","","","","","","","","1.622","0.5","0.281","",""
"00:48","2.413","","","","0.172","0.189","","","","1.756","0.603","0.245","",""
"00:56","2.609","","","","","","","","","1.749","0.546","0.267","",""
"01:04","4.355","","","","","","0.47","1.222","0.407","1.688","0.515","0.268","0.407",""
"01:12","2.744","","","","","","","","","1.921","0.589","0.268","",""
"01:20","2.7","","","","","","","","","1.761","0.651","0.352","",""
"01:28","4.484","","","","","","","","","1.877","1.417","1.155","",""
"01:36","2.753","","","","","","","","","1.823","0.588","0.321","",""
"01:44","2.598","","","","","","","","","1.624","0.541","0.332","",""
"01:52","2.723","","","","","","","","","1.755","0.617","0.3","",""
"02:00","2.667","","","","","","","","","1.87","0.569","0.332","",""
"02:08","2.74","","","","","","","","","1.81","0.595","0.376","",""
"02:16","2.871","","","","","","","","","1.851","0.595","0.374","",""
"02:24","2.835","","","","","","","","","1.855","0.634","0.294","",""
"02:32","2.425","","","","","","","","","1.755","0.537","0.277","",""
"02:40","2.815","","","","","","","","","1.971","0.604","0.342","",""
"02:48","2.465","","","","","","","","","1.582","0.503","0.27","",""
"02:56","2.472","","","","","","","","","1.727","0.546","0.25","",""
"03:04","2.692","","","","","","","","","1.905","0.596","0.321","",""
"03:12","2.763","","","","","","","","","1.803","0.565","0.312","",""
"03:20","2.586","","","","","","","","","1.813","0.485","0.282","",""
"03:28","2.642","","","","","","","","","1.788","0.556","0.312","",""
"03:36","3.145","","","","","","","","","2.061","1.034","0.29","",""
"03:44","3.599","","","","","","","","","2.711","0.912","0.316","",""
"03:52","2.769","","","","","","","","","1.722","0.538","0.326","",""
"04:00","2.519","","","","","","","","","1.891","0.714","0.264","",""
"04:08","2.726","","","","","","","","","1.87","0.592","0.288","",""
"04:16","2.814","","","","","","","","","1.702","0.515","0.306","",""
"04:24","2.462","","","","","","","","","1.607","0.57","0.263","",""
"04:32","2.719","","","","","","","","","1.706","0.652","0.289","",""
"04:40","2.534","","","","","","","","","1.911","0.655","0.242","",""
"04:48","2.727","","","","","","","","","1.888","0.538","0.279","",""
"04:56","2.805","","","","","","","","","1.796","0.592","0.373","",""
"05:04","2.762","","","","","","","","","2.004","0.518","0.305","",""
"05:12","2.548","","","","","","","","","1.691","0.517","0.289","",""
"05:20","2.515","","","","","","","","","1.687","0.612","0.261","",""
"05:28","2.622","","","","","","","","","1.746","0.666","0.324","",""
"05:36","2.854","","","","","","","","","1.744","0.583","0.383","0",""
"05:44","2.797","","","","","","","","","1.804","0.564","0.449","",""
"05:52","2.728","","","","","","","","","1.815","0.635","0.277","",""
"06:00","3.297","","","","","","","","","2.219","0.683","0.394","0",""
